disease,disease_display,n_papers,sii,ktp,rcc,mean_drift
Motor_neuron_disease,Motor neuron disease,52517,0.0014657085994258523,0.9990520477294922,0.00799647718667984,2.2695614461554214e-05
Exposure_to_mechanical_forces,Exposure to mechanical forces,17810,0.0014637731947004795,0.9990972876548767,0.006983748637139797,4.4834156142314896e-05
Sudden_infant_death_syndrome,Sudden infant death syndrome,4695,0.0014610439538955688,0.9989871978759766,0.00680845882743597,0.00012740492820739746
Multiple_myeloma,Multiple myeloma,45115,0.0014506310690194368,0.9991554021835327,0.007238815538585186,2.1533323888434097e-05
Testicular_cancer,Testicular cancer,12763,0.0014483582926914096,0.9991868138313293,0.006841416470706463,5.250252070254646e-05
Gallbladder_and_biliary_tract_cancer,Gallbladder and biliary tract cancer,17652,0.0014465403510257602,0.9994730353355408,0.006799664348363876,4.082688974449411e-05
Protein-energy_malnutrition,Protein-energy malnutrition,2931,0.0014428526628762484,0.9991269111633301,0.006611890159547329,0.00014493466005660594
Eating_disorders,Eating disorders,51541,0.0014383376110345125,0.9991678595542908,0.007197868078947067,1.8977201762027107e-05
Age-related_and_other_hearing_loss,Age-related and other hearing loss,80002,0.0014369189739227295,0.9990764856338501,0.0071556163020431995,2.0439807485672645e-05
Hodgkin_lymphoma,Hodgkin lymphoma,27318,0.001427644514478743,0.9991455078125,0.0068832156248390675,3.125117291347124e-05
Rheumatic_heart_disease,Rheumatic heart disease,4749,0.0014273237902671099,0.9990543127059937,0.006944846361875534,0.00018435028323438019
Esophageal_cancer,Esophageal cancer,51432,0.001415446400642395,0.9994931817054749,0.006911867763847113,2.646217035362497e-05
Otitis_media,Otitis media,17536,0.0014111900236457586,0.9990454316139221,0.007057609967887402,4.4758504373021424e-05
Idiopathic_epilepsy,Idiopathic epilepsy,74509,0.001407011179253459,0.9990671873092651,0.006808532401919365,1.649443947826512e-05
Encephalitis,Encephalitis,47767,0.001399240456521511,0.9990877509117126,0.007345044519752264,2.244573443022091e-05
Acute_hepatitis,Acute hepatitis,105425,0.0013970434665679932,0.999090850353241,0.006603155750781298,1.6079498891485855e-05
Bacterial_skin_diseases,Bacterial skin diseases,14283,0.0013951939763501287,0.9992071986198425,0.007676133885979652,7.722469308646396e-05
Acne_vulgaris,Acne vulgaris,16412,0.0013910419074818492,0.9991838932037354,0.007048164494335651,4.847233140026219e-05
Urticaria,Urticaria,15762,0.0013899176847189665,0.9991737604141235,0.006917319260537624,4.340364466770552e-05
Leukemia,Leukemia,192887,0.001384854898788035,0.9992074370384216,0.007705360651016235,1.3784720067633316e-05
Sexually_transmitted_infections_excluding_HIV,Sexually transmitted infections excluding HIV,203014,0.0013834488345310092,0.9991106390953064,0.007182412780821323,1.0559191650827415e-05
Larynx_cancer,Larynx cancer,14243,0.0013770520454272628,0.9993435144424438,0.007105918135493994,5.813057578052394e-05
Decubitus_ulcer,Decubitus ulcer,13194,0.001358471461571753,0.9991432428359985,0.006826615426689386,5.4038486268837005e-05
Depressive_disorders,Depressive disorders,227813,0.001347912009805441,0.9993259310722351,0.006946473382413387,1.2879188034276012e-05
Pneumoconiosis,Pneumoconiosis,5837,0.00133895396720618,0.9990484714508057,0.00731023820117116,0.0001396766019752249
Cardiomyopathy_and_myocarditis,Cardiomyopathy and myocarditis,109826,0.0013340843142941594,0.9991523623466492,0.007447933312505484,1.597175287315622e-05
Viral_skin_diseases,Viral skin diseases,9983,0.0013326335465535522,0.9991436004638672,0.007102198898792267,7.480153726646677e-05
Other_mental_disorders,Other mental disorders,219665,0.0013237077509984374,0.9994320869445801,0.007374185603111982,1.2028675882902462e-05
Soft_tissue_and_other_extraosseous_sarcomas,Soft tissue and other extraosseous sarcomas,69865,0.0013188302982598543,0.9994239807128906,0.007324570789933205,1.7163845768664032e-05
Blindness_and_vision_loss,Blindness and vision loss,55325,0.0013182145776227117,0.9991406798362732,0.007216088008135557,1.7773647414287552e-05
Varicella_and_herpes_zoster,Varicella and herpes zoster,15389,0.0013152360916137695,0.9992356300354004,0.007084512617439032,4.859154068981297e-05
Tuberculosis,Tuberculosis,142560,0.0013145303819328547,0.9991748929023743,0.008233887143433094,1.3913099792262074e-05
Chronic_obstructive_pulmonary_disease,Chronic obstructive pulmonary disease,73460,0.0013139790389686823,0.9992098808288574,0.0071531059220433235,2.2133956008474343e-05
Other_pharynx_cancer,Other pharynx cancer,27592,0.0012990713585168123,0.9995047450065613,0.006896326318383217,3.398152330191806e-05
Chronic_kidney_disease,Chronic kidney disease,136989,0.0012980926549062133,0.9993157982826233,0.006722744554281235,1.6347719792975113e-05
Other_neoplasms,Other neoplasms,112046,0.001291214837692678,0.9993516206741333,0.006808165926486254,1.3044247680227272e-05
Hemoglobinopathies_and_hemolytic_anemias,Hemoglobinopathies and hemolytic anemias,38043,0.0012908572098240256,0.9990736842155457,0.007105308584868908,2.8878450393676758e-05
Thyroid_cancer,Thyroid cancer,52209,0.0012881809379905462,0.9993529319763184,0.007098181638866663,2.3972530470928177e-05
Liver_cancer,Liver cancer,156561,0.0012881738366559148,0.9994845390319824,0.0072370655834674835,1.712487210170366e-05
Psoriasis,Psoriasis,47484,0.0012851256178691983,0.999264121055603,0.007077239919453859,2.6700588932726532e-05
Other_sense_organ_diseases,Other sense organ diseases,99493,0.0012787706218659878,0.9992121458053589,0.007201609667390585,1.4632940292358398e-05
Meningitis,Meningitis,42140,0.0012759793316945434,0.9992499351501465,0.007693989668041468,2.2542018996318802e-05
Kidney_cancer,Kidney cancer,67556,0.0012730627786368132,0.9994548559188843,0.007261249702423811,2.0343522919574752e-05
Pulmonary_Arterial_Hypertension,Pulmonary Arterial Hypertension,52658,0.0012711983872577548,0.9991531372070312,0.007844376377761364,3.228737841709517e-05
Congenital_birth_defects,Congenital birth defects,207110,0.0012665730901062489,0.9991509914398193,0.007488636765629053,8.610578333900776e-06
"Fire,_heat,_and_hot_substances","Fire, heat, and hot substances",30292,0.0012531477259472013,0.9991883635520935,0.007273989263921976,3.937345172744244e-05
Non-melanoma_skin_cancer,Non-melanoma skin cancer,102183,0.0012498199939727783,0.9995923638343811,0.006761476397514343,1.4456419194175396e-05
Maternal_disorders,Maternal disorders,197490,0.0012421804713085294,0.9991770386695862,0.007051172200590372,1.1258400263614021e-05
Multiple_sclerosis,Multiple sclerosis,90164,0.0012393820798024535,0.9991677403450012,0.006975026801228523,1.3864957509213127e-05
Mesothelioma,Mesothelioma,14334,0.0012371272314339876,0.9993435144424438,0.007207092363387346,5.647998477797955e-05
Malignant_neoplasm_of_bone_and_articular_cartilage,Malignant neoplasm of bone and articular cartilage,72852,0.0012254565954208374,0.9993911981582642,0.0074175214394927025,1.8695225662668236e-05
Cervical_cancer,Cervical cancer,77362,0.0012234514579176903,0.999399721622467,0.00727734062820673,1.765443812473677e-05
Other_nutritional_deficiencies,Other nutritional deficiencies,72403,0.00122140406165272,0.999301552772522,0.0072068339213728905,1.9832299585686997e-05
Pancreatic_cancer,Pancreatic cancer,87717,0.0012173973955214024,0.9995570182800293,0.007388839963823557,1.5595784134347923e-05
Gout,Gout,12818,0.0012046241899952292,0.9992230534553528,0.007543409243226051,8.549140329705551e-05
Asthma,Asthma,142197,0.0012016785331070423,0.9992629885673523,0.007302391342818737,1.3848910384695046e-05
Ovarian_cancer,Ovarian cancer,88730,0.0012010389473289251,0.9995417594909668,0.0074203903786838055,1.5753965271869674e-05
Nasopharynx_cancer,Nasopharynx cancer,24915,0.0011983930598944426,0.9994438290596008,0.007790419738739729,4.155819260631688e-05
Bladder_cancer,Bladder cancer,54009,0.0011978810653090477,0.9995356202125549,0.007083744276314974,2.2429685486713424e-05
Gallbladder_and_biliary_diseases,Gallbladder and biliary diseases,62746,0.0011957562528550625,0.9993249177932739,0.007095328066498041,1.702858935459517e-05
HIV_AIDS,HIV AIDS,222246,0.001190053764730692,0.9992278814315796,0.007636045105755329,1.018780949380016e-05
Brain_and_central_nervous_system_cancer,Brain and central nervous system cancer,155117,0.0011831409065052867,0.9993929862976074,0.007337271235883236,1.601072472112719e-05
Dietary_iron_deficiency,Dietary iron deficiency,22514,0.0011814224999397993,0.9992982149124146,0.00694924034178257,3.332587220938876e-05
Prostate_cancer,Prostate cancer,164684,0.0011781960492953658,0.9994072914123535,0.007247893139719963,1.2936500752402935e-05
Lip_and_oral_cavity_cancer,Lip and oral cavity cancer,57156,0.0011779284104704857,0.9994972348213196,0.007045316975563765,2.0038623915752396e-05
Malignant_skin_melanoma,Malignant skin melanoma,120427,0.0011710887774825096,0.9994215965270996,0.007789527531713247,1.4763611943635624e-05
Pruritus,Pruritus,19806,0.0011669844388961792,0.9993494749069214,0.007112381514161825,4.117076241527684e-05
Poisonings,Poisonings,91498,0.0011658460134640336,0.9991771578788757,0.008113138377666473,2.2739171981811523e-05
Dermatitis,Dermatitis,77689,0.0011626153718680143,0.9993755221366882,0.007407326251268387,1.5893807358224876e-05
Uterine_cancer,Uterine cancer,96168,0.001155062927864492,0.9995306730270386,0.007061760872602463,1.3938317351858132e-05
Other_unspecified_infectious_diseases,Other unspecified infectious diseases,211595,0.0011427205754444003,0.9993295073509216,0.00756648788228631,1.1666463251458481e-05
Rheumatoid_arthritis,Rheumatoid arthritis,111424,0.0011207318166270852,0.9993170499801636,0.007166572846472263,2.126281106029637e-05
Cirrhosis_and_other_chronic_liver_diseases,Cirrhosis and other chronic liver diseases,115444,0.0011193030513823032,0.9993690252304077,0.006807056721299887,1.6567799320910126e-05
Inflammatory_bowel_disease,Inflammatory bowel disease,95884,0.0011190694058313966,0.9993254542350769,0.007038096431642771,1.766819150361698e-05
"Tracheal,_bronchus,_and_lung_cancer","Tracheal, bronchus, and lung cancer",188000,0.0011176728876307607,0.9995706081390381,0.007741264067590237,1.694376624072902e-05
Pancreatitis,Pancreatitis,48066,0.0011160314315930009,0.9993355870246887,0.00710704131051898,2.2129370336188003e-05
Oral_disorders,Oral disorders,192917,0.001101818634197116,0.9992435574531555,0.007403785362839699,1.3718237823923118e-05
Other_intestinal_infectious_diseases,Other intestinal infectious diseases,25413,0.0011003565741702914,0.9993236660957336,0.007296539843082428,3.6209821701049805e-05
Headache_disorders,Headache disorders,99995,0.0010897755855694413,0.9993179440498352,0.007150991819798946,1.39406092785066e-05
Other_chronic_respiratory_diseases,Other chronic respiratory diseases,99873,0.0010788876097649336,0.9993942379951477,0.007234664633870125,2.6017427444458008e-05
Hypertensive_heart_disease,Hypertensive heart disease,228464,0.0010738575365394354,0.9994747042655945,0.007208548486232758,1.2819583389500622e-05
Stroke,Stroke,213448,0.0010709970956668258,0.9994202852249146,0.007260454352945089,1.1781086868722923e-05
Diabetes_mellitus,Diabetes mellitus,231620,0.0010570836020633578,0.9994475245475769,0.00733746774494648,1.4903454029990826e-05
Diarrheal_diseases,Diarrheal diseases,115871,0.0010553443571552634,0.9993656277656555,0.007903823629021645,1.6767244233051315e-05
Breast_cancer,Breast cancer,219224,0.0010550826555117965,0.9995400905609131,0.007509819231927395,1.5125824575079605e-05
Lower_respiratory_infections,Lower respiratory infections,174866,0.0010489261476323009,0.9994163513183594,0.007580908015370369,4.14389833167661e-05
Lower_extremity_peripheral_arterial_disease,Lower extremity peripheral arterial disease,52741,0.0010444909567013383,0.9994124174118042,0.0074417670257389545,1.9075778254773468e-05
Colon_and_rectum_cancer,Colon and rectum cancer,190757,0.0010421520564705133,0.9996317625045776,0.0075095584616065025,1.499515292380238e-05
Upper_respiratory_infections,Upper respiratory infections,176702,0.0010368520161136985,0.9994226098060608,0.007598127704113722,4.0943807107396424e-05
Other_malignant_neoplasms,Other malignant neoplasms,221347,0.0010278815170750022,0.9996271729469299,0.007286077830940485,1.2312943908909801e-05
Neonatal_disorders,Neonatal disorders,222965,0.0009983265772461891,0.9993723630905151,0.007504780776798725,1.0112156815011986e-05
Gynecological_diseases,Gynecological diseases,207352,0.000982270808890462,0.9995316863059998,0.007290965411812067,1.1391364751034416e-05
Other_musculoskeletal_disorders,Other musculoskeletal disorders,219603,0.0009724801639094949,0.9994416236877441,0.007729632779955864,1.2328991942922585e-05
Other_cardiovascular_and_circulatory_diseases,Other cardiovascular and circulatory diseases,210283,0.0009405058808624744,0.9995600581169128,0.007804782595485449,1.6721394786145538e-05
Adverse_effects_of_medical_treatment,Adverse effects of medical treatment,115362,0.0009236311889253557,0.9994407892227173,0.00751708447933197,1.7849299183581024e-05
Urinary_diseases_and_male_infertility,Urinary diseases and male infertility,217013,0.0008891248726285994,0.9995130896568298,0.007422324735671282,1.1638952855719253e-05
Other_neurological_disorders,Other neurological disorders,220012,0.0008771502762101591,0.9995073676109314,0.007837469689548016,1.4089620890445076e-05
Upper_digestive_system_diseases,Upper digestive system diseases,216009,0.0008628761861473322,0.9995750188827515,0.007644737139344215,1.2819583389500622e-05
"Endocrine,_metabolic,_blood,_and_immune_disorders","Endocrine, metabolic, blood, and immune disorders",219891,0.0008232027175836265,0.999566376209259,0.0076827858574688435,1.4027724319021218e-05
Other_digestive_diseases,Other digestive diseases,218025,0.0007999330991879106,0.9996199607849121,0.007772253360599279,1.6471514754812233e-05
Other_skin_and_subcutaneous_diseases,Other skin and subcutaneous diseases,204666,0.0007831478142179549,0.9995349645614624,0.007841210812330246,1.1549545888556167e-05
